date,price
2/7/2013,1668
2/8/2013,1668.3
2/11/2013,1652
2/12/2013,1647.5
2/13/2013,1645
2/14/2013,1646
2/15/2013,1612.3
2/18/2013,1610.8
2/19/2013,1607.8
2/20/2013,1588.5
2/21/2013,1577
2/22/2013,1576.5
2/25/2013,1586.3
2/26/2013,1590.5
2/27/2013,1604.3
2/28/2013,1588.5
3/1/2013,1582.3
3/4/2013,1574.3
3/5/2013,1579.8
3/6/2013,1574
3/7/2013,1579.5
3/8/2013,1581.8
3/11/2013,1579
3/12/2013,1594
3/13/2013,1589.3
3/14/2013,1586
3/15/2013,1595.5
3/18/2013,1603.8
3/19/2013,1610.8
3/20/2013,1607.5
3/21/2013,1613.8
3/22/2013,1607.8
3/25/2013,1599.3
3/26/2013,1598
3/27/2013,1603
3/28/2013,1598.3
3/29/2013,1598.3
4/1/2013,1598.3
4/2/2013,1583.5
4/3/2013,1574.8
4/4/2013,1546.5
4/5/2013,1568
4/8/2013,1575
4/9/2013,1577.3
4/10/2013,1575
4/11/2013,1565
4/12/2013,1535.5
4/15/2013,1395
4/16/2013,1380
4/17/2013,1392
4/18/2013,1393.8
4/19/2013,1405.5
4/22/2013,1424.5
4/23/2013,1408
4/24/2013,1428.5
4/25/2013,1451
4/26/2013,1471.5
4/29/2013,1467.5
4/30/2013,1469
5/1/2013,1454.8
5/2/2013,1469.3
5/3/2013,1469.3
5/6/2013,1469.3
5/7/2013,1444.3
5/8/2013,1468
5/9/2013,1465.5
5/10/2013,1426.5
5/13/2013,1430.8
5/14/2013,1433.8
5/15/2013,1410
5/16/2013,1381
5/17/2013,1368.8
5/20/2013,1354.8
5/21/2013,1360.8
5/22/2013,1408.5
5/23/2013,1380.5
5/24/2013,1390.3
5/27/2013,1390.3
5/28/2013,1376.5
5/29/2013,1382.5
5/30/2013,1413.5
5/31/2013,1394.5
6/3/2013,1402.5
6/4/2013,1399.5
6/5/2013,1404
6/6/2013,1400
6/7/2013,1386
6/10/2013,1383.3
6/11/2013,1374.3
6/12/2013,1382.8
6/13/2013,1385
6/14/2013,1391.3
6/17/2013,1384.8
6/18/2013,1366.8
6/19/2013,1372.8
6/20/2013,1292.5
6/21/2013,1295.3
6/24/2013,1286.8
6/25/2013,1279
6/26/2013,1236.3
6/27/2013,1232.8
6/28/2013,1192
7/1/2013,1242.8
7/2/2013,1252.5
7/3/2013,1250
7/4/2013,1251.8
7/5/2013,1212.8
7/8/2013,1235.3
7/9/2013,1255.5
7/10/2013,1256
7/11/2013,1285
7/12/2013,1279.8
7/15/2013,1284.8
7/16/2013,1291.5
7/17/2013,1297.3
7/18/2013,1283.3
7/19/2013,1295.8
7/22/2013,1327
7/23/2013,1333.5
7/24/2013,1335
7/25/2013,1326
